prompt_length/mean,response_length/min,timing_s/adv,prompt_length/max,_step,global_seqlen/minmax_diff,prompt_length/min,actor/pg_clipfrac,critic/rewards/mean,actor/lr,timing_s/generate_sequences,critic/returns/max,perf/throughput,perf/total_num_tokens,training/epoch,perf/mfu/actor,timing_s/testing,actor/ppo_kl,response_length/clip_ratio,timing_per_token_ms/gen,timing_s/reshard,critic/returns/mean,timing_s/step,timing_s/start_profile,actor/pg_clipfrac_lower,timing_s/gen,critic/rewards/max,actor/pg_loss,critic/advantages/mean,perf/max_memory_reserved_gb,critic/score/max,timing_s/reward,actor/grad_norm,prompt_length/clip_ratio,global_seqlen/balanced_min,critic/score/mean,critic/advantages/max,timing_s/update_actor,perf/max_memory_allocated_gb,timing_per_token_ms/update_actor,_runtime,global_seqlen/balanced_max,critic/returns/min,_timestamp,global_seqlen/min,timing_s/old_log_prob,perf/time_per_step,critic/rewards/min,perf/cpu_memory_used_gb,response_length/mean,training/global_step,actor/entropy,val-core/openai/gsm8k/reward/mean@1,global_seqlen/max,timing_s/stop_profile,global_seqlen/mean,critic/advantages/min,timing_per_token_ms/adv,critic/score/min,response_length/max
94.7265625,2,0.047160740941762924,179,1,13067,56,0.005052988872193964,0.17626953125,1e-06,32.554527282714844,2.4748666286468506,584.5198702695535,749392,0,0.26402949615250415,,0.0009985443658706572,0.1240234375,0.06553865032277849,1.9645602703094482,-0.07376771420240402,320.51605005934834,1.8771737813949585e-05,1.3410202427621698e-05,36.39964208006859,1,0.048761989863123745,-0.07376771420240402,92.412109375,1,0.4440635070204735,10.233271539211273,0,187348,0.17626953125,2.4748666286468506,221.56504049524665,79.05275917053223,0.2956597354858961,638.050744539,187348,-1.6201815605163574,1772980682.431019,181584,62.03161842375994,320.51605005934834,0,223.07590103149414,271.1875,1,0.6098949313163757,,194651,1.0702759027481079e-05,187348.0,-1.6201815605163574,6.293200480090917e-05,0,512
95.09765625,2,0.04635735973715782,205,2,3171,55,0.006758482137229294,0.22802734375,1e-06,31.510833740234375,2.4748666286468506,579.862901261695,733504,0,0.2588956322451802,,0.001275976574561355,0.138671875,0.06326097510621745,1.4079289436340332,-0.09087014943361282,316.2402692101896,3.3117830753326416e-06,1.5148987586144358e-05,34.081470772624016,1,0.0558183147222735,-0.09087014943361282,99.263671875,1,0.32192208990454674,7.3629196882247925,0,183376,0.22802734375,2.4748666286468506,221.1402397826314,79.05275917053223,0.30148470871683236,950.307686565,183376,-1.6201815605163574,1772980998.7005148,181715,60.62401634082198,316.2402692101896,0,223.45855712890625,263.05859375,2,0.6191121339797974,,184886,2.5741755962371826e-06,183376.0,-1.6201815605163574,6.319987312565143e-05,0,512
94.22265625,2,0.04943234845995903,180,3,4121,57,0.002838266865182959,0.4755859375,1e-06,28.5737247467041,2.4748666286468506,538.3964287799108,672397,0,0.2385017209762137,,0.0004242774639919844,0.07763671875,0.06547899997839132,1.6330251693725586,-0.12169157713651657,312.2220746912062,3.874301910400391e-06,0.0,31.392531480640173,1,0.11208098407951184,-0.12169157713651657,99.263671875,1,0.3115070089697838,2.63986799120903,0,168099,0.4755859375,2.4748666286468506,219.86523902788758,79.05275917053223,0.3269872397227941,1259.918991316,168100,-2.4748666286468506,1772981310.9574654,165070,60.576592933386564,312.2220746912062,0,223.4885368347168,234.09619140625,3,0.5398468971252441,,169191,2.68593430519104e-06,168099.25,-2.4748666286468506,7.351661066298487e-05,0,512
93.6640625,2,0.05104921758174896,196,4,12131,61,0.004690886653406778,0.67431640625,1e-06,26.902067184448242,2.4748666286468506,512.5770396111626,634763,0,0.22518700019116228,,0.0008997922549269788,0.0419921875,0.06554933660699251,0.7878265976905823,-0.08880546689033508,309.59394927322865,2.5890767574310303e-06,1.0493619811313692e-05,29.034357607364655,1,0.0307763091113884,-0.08880546689033508,99.263671875,1,0.30224841088056564,4.562382102012634,0,158690,0.67431640625,2.4748666286468506,219.6455647200346,79.05275917053223,0.34602767445492977,1567.591465045,158691,-2.4748666286468506,1772981620.5688822,152735,60.5349850282073,309.59394927322865,0,223.4707145690918,216.27880859375,4,0.399503231048584,,164866,2.3730099201202393e-06,158690.75,-2.4748666286468506,8.042248458361462e-05,0,512
89.90625,2,0.0505189523100853,246,5,15307,56,0.0013548463120969245,0.84326171875,1e-06,24.392980575561523,2.4748666286468506,473.9339897691191,583232,0,0.20672160111439142,,0.000188466281770161,0.01025390625,0.0681729326855016,0.7838399410247803,-0.030820930376648903,307.6546589769423,3.2298266887664795e-06,0.0,27.208090126514435,1,0.045094354172761086,-0.030820930376648903,99.263671875,1,0.28781718388199806,3.3792514204978943,0,145808,0.84326171875,2.4748666286468506,219.6250371709466,79.05275917053223,0.3765654785247493,1876.080639205,145808,-2.4748666286468506,1772981928.2412255,139244,60.457421470433474,307.6546589769423,0,223.52617263793945,194.875,5,0.31654176115989685,,154551,2.726912498474121e-06,145808.0,-2.4748666286468506,8.661896519752911e-05,0,512
94.59375,2,0.04706601798534393,179,6,9856,57,0.00273338408806012,0.86376953125,1e-06,24.552194595336914,2.4748666286468506,484.1703443381252,597407,0,0.21138693229607125,,0.0003583274797165359,0.005859375,0.06788593739614238,1.416677474975586,-0.01864553801715374,308.4694297090173,2.812594175338745e-06,0.0,27.404127322137356,1,0.06873989877931308,-0.01864553801715374,99.263671875,1,0.29275019839406013,5.589011520147324,0,149351,0.86376953125,2.4748666286468506,219.99407844245434,79.05275917053223,0.3682482435633569,2182.005011458,149352,-2.4748666286468506,1772982236.7304022,144920,60.705256924033165,308.4694297090173,0,223.49642181396484,197.10888671875,6,0.2838895618915558,,154776,3.341585397720337e-06,149351.75,-2.4748666286468506,7.878384080759672e-05,0,512
92.5546875,13,0.04595544934272766,173,7,9234,53,0.0009384258592035621,0.873046875,1e-06,23.511137008666992,2.4748666286468506,472.2303941585014,577831,0,0.20491921912026873,,0.00011819556448244839,0.001953125,0.06601544699673575,0.7867559790611267,-0.012121559120714664,305.90523563697934,3.255903720855713e-06,0.0,25.632411744445562,1,0.007699749527091626,-0.012121559120714664,99.263671875,1,0.29024992883205414,1.4286471009254456,0,144457,0.873046875,2.4748666286468506,219.4604477211833,79.05275917053223,0.37980040482629573,2490.006710906,144458,-2.4748666286468506,1772982542.6548474,139974,60.44537490606308,305.90523563697934,0,223.65619277954102,189.58935546875,7,0.2715279459953308,,149208,2.6263296604156494e-06,144457.75,-2.4748666286468506,7.953095168436388e-05,0,512
93.08203125,3,0.05201702564954758,170,8,2524,58,0.0004567875648717745,0.9140625,1e-06,23.629335403442383,2.4748666286468506,469.7323067408736,578680,0,0.20495247960468896,,0.0001359383021792837,0.00341796875,0.07012618034546589,1.820474624633789,-0.007156110368669033,307.9839260019362,3.430992364883423e-06,0.0,27.212324030697346,1,-0.03790660758386366,-0.007156110368669033,99.263671875,1,0.29229602962732315,1.1284798830747604,0,144670,0.9140625,2.4748666286468506,219.72706089168787,79.05275917053223,0.3797039138931497,2797.684934094,144670,-2.4748666286468506,1772982850.656578,142954,60.67421901598573,307.9839260019362,0,223.64485931396484,189.4765625,8,0.24835652112960815,,145478,2.693384885787964e-06,144670.0,-2.4748666286468506,8.988910218004351e-05,0,512
93.890625,27,0.05465598404407501,191,9,10638,58,0.000461626142168825,0.91796875,1e-06,24.425203323364258,1.6201815605163574,480.81549407399837,591703,0,0.20977741211276452,,0.0002801195194876982,0.001953125,0.06789149864537153,0.8703179955482483,-0.010105175897479057,307.6559549830854,2.8498470783233643e-06,0.0,27.11688293144107,1,-0.011835631610665587,-0.010105175897479057,99.263671875,1,0.2899385280907154,0.5216065421700478,0,147925,0.91796875,1.6201815605163574,219.56455539166927,79.05275917053223,0.3710722362260615,3127.987875591,147926,-2.4748666286468506,1772983158.3347247,143993,60.60384217277169,307.6559549830854,0,223.70443725585938,195.02685546875,9,0.23271337151527405,,154631,2.4400651454925537e-06,147925.75,-2.4748666286468506,9.237063872259395e-05,0,512
93.1328125,3,0.04929104819893837,174,10,2008,59,0.0009882663125608815,0.927734375,1e-06,23.893787384033203,2.4748666286468506,441.9244854693981,583824,0,0.20705872424075095,22.623402804136276,0.0004006500898583454,0.001953125,0.0695812041439554,1.3042100667953491,-0.006833903957158327,330.27362094447017,1.0058283805847168e-05,0.0,27.351536374539137,1,0.03658100921893492,-0.006833903957158327,99.263671875,1,0.28906436264514923,0.8616902008652687,0,145956,0.927734375,2.4748666286468506,219.451287496835,79.05275917053223,0.37588603328543363,3433.618830875,145956,-2.4748666286468506,1772983488.6377153,145232,60.47814805805683,330.27362094447017,0,223.77339935302734,191.9375,10,0.2099728286266327,0.8923426838514026,147240,4.373490810394287e-06,145956.0,-2.4748666286468506,8.442792382454022e-05,0,512
