critic/values/mean,_runtime,critic/rewards/mean,timing_s/reshard,perf/throughput,prompt_length/min,prompt_length/max,global_seqlen/balanced_max,actor/pg_clipfrac_lower,_step,timing_s/step,timing_per_token_ms/update_actor,critic/score/min,timing_s/reward,perf/max_memory_allocated_gb,critic/lr,response_length/mean,timing_s/values,timing_s/start_profile,actor/grad_norm,perf/cpu_memory_used_gb,global_seqlen/max,timing_s/update_critic,perf/total_num_tokens,timing_per_token_ms/values,timing_per_token_ms/gen,prompt_length/mean,critic/score/max,actor/ppo_kl,actor/entropy,critic/returns/max,critic/score/mean,critic/advantages/max,response_length/min,global_seqlen/mean,perf/mfu/actor,timing_s/update_actor,perf/time_per_step,critic/rewards/max,critic/advantages/mean,timing_s/stop_profile,critic/returns/mean,timing_s/gen,val-core/openai/gsm8k/reward/mean@1,critic/values/min,critic/returns/min,timing_per_token_ms/update_critic,perf/mfu/critic,prompt_length/clip_ratio,critic/grad_norm,timing_s/adv,critic/vf_clipfrac,timing_s/generate_sequences,global_seqlen/minmax_diff,training/epoch,actor/lr,critic/vpred_mean,critic/values/max,timing_s/old_log_prob,timing_s/testing,_timestamp,critic/vf_explained_var,response_length/clip_ratio,critic/advantages/min,response_length/max,training/global_step,global_seqlen/min,perf/max_memory_reserved_gb,timing_per_token_ms/adv,global_seqlen/balanced_min,actor/pg_clipfrac,actor/pg_loss,critic/rewards/min,critic/vf_loss
0.23828125,103.232715762,0.15234375,1.6275510787963867,457.41883148474585,56,179,23867,0.0,1,52.175923589617014,0.3013414464969392,0,0.16209059208631516,63.591328620910645,1e-05,278.18359375,0.9233181923627853,1.0944902896881104e-05,3.858182966709137,224.21547317504883,24819,3.739237818866968,95465,0.009671797961166767,0.1386247323146573,94.7265625,1,0.00024420030240435153,0.6346849203109741,1,0.15234375,4.078058242797852,4,23866.25,0.2591406437981003,28.767561189830303,52.175923589617014,1,-3.6424827598580123e-09,7.178634405136108e-06,0.11586042493581772,9.87216031178832,,-20.25,0.0,0.0391686777234271,0.16828449755948208,0,506.96639251708984,0.04079326614737511,0.35510900896042585,7.284191131591797,2026,0,1e-06,0.7387076036538929,19.625,8.66464352235198,,1772957948.809594,-242.60304260253906,0.1484375,-3.903857707977295,512,1,22793,87.01171875,0.00042731122555255964,23866,0.0014570957428077236,-0.007103675976395607,0,12.383260190486908
-0.8046875,152.786229196,0.22265625,0.7318277359008789,470.95456567202524,55,205,23357,0.0,2,49.59501765668392,0.3033878942254972,0,0.043056730180978775,69.36424350738525,1e-05,269.85546875,0.8954974301159382,2.5890767574310303e-06,3.7459508776664734,224.12802505493164,24583,3.717835497111082,93428,0.009584893502118618,0.12904921978219855,95.09765625,1,0.0002261858171550557,0.6197457313537598,1,0.22265625,4.52426290512085,2,23357.0,0.2573040856702891,28.344924181699753,49.59501765668392,1,1.104380853433895e-08,1.9855797290802e-06,0.17765586078166962,8.915107250213623,,-15.25,-5.960464477539063e-08,0.03979358968522372,0.16548969253466722,0,266.60860443115234,0.0408092699944973,0.31212698481976986,7.149946689605713,2306,0,1e-06,-0.7721422426402569,18.75,7.632910054177046,,1772957998.4119663,-67.07293701171875,0.125,-6.256688594818115,512,2,22277,91.654296875,0.00043679913938538017,23357,0.001051009341608733,-0.008482301607728004,0,5.428736373782158
0.1513671875,202.502677376,0.23046875,0.8727670907974243,461.94894042625907,57,180,22888,0.0,3,49.5460601747036,0.3087791615241547,0,0.04251937195658684,69.36424350738525,1e-05,263.3984375,0.9025310091674328,2.7455389499664307e-06,3.0205633640289307,224.15872955322266,25045,3.797967653721571,91551,0.0098582321238155,0.1313840872886431,94.22265625,1,-7.5752741395263e-06,0.6005038619041443,1,0.23046875,8.156778335571289,7,22887.75,0.2527592390551023,28.269041016697884,49.5460601747036,1,4.073234638468648e-09,2.216547727584839e-06,0.17484799027442932,8.859229005873203,,-17.75,0.0,0.04148472057892946,0.15866275453007753,0,256.57995986938477,0.04062362015247345,0.25807024724781513,7.126888275146484,3809,0,1e-06,0.22333903890103102,15.625,7.629253976047039,,1772958047.9654338,-31.730899810791016,0.125,-7.200942039489746,512,3,21236,91.654296875,0.0004437266676767425,22887,0.0005619567418762017,0.033513348549604416,0,2.7268918454647064
-0.2392578125,251.90437571,0.28515625,0.9837164282798767,464.68054069146314,61,196,23099,6.716819189023226e-05,4,49.70941964909434,0.3067740326331773,0,0.042812101542949677,69.36424350738525,1e-05,267.2578125,0.9714651368558407,2.3581087589263916e-06,14.177099585533142,224.18025588989258,24353,3.7217513620853424,92396,0.010514147115198068,0.13085195585127454,93.6640625,1,0.0025957580655813217,0.6206489205360413,1,0.28515625,8.331127166748047,2,23099.0,0.2544191755417403,28.344693519175053,49.70941964909434,1,-2.589854908308098e-08,2.253800630569458e-06,0.2245023250579834,8.9526291154325,,-14.5,0.0,0.0402804381367737,0.16342376373839093,0,189.4871425628662,0.04052728787064552,0.2515923669561744,7.087362289428711,1898,0,1e-06,-0.00920434354338795,15.6875,7.630604922771454,,1772958097.6819274,-15.303304672241211,0.1171875,-9.586188316345215,512,4,22455,91.654296875,0.00043862599972558904,23099,0.012875171843916178,-0.055558305233716965,0,2.135371735319495
-0.5546875,302.943650637,0.21484375,0.8540880084037781,443.5366423897648,56,246,21909,0.00011113936125184409,5,49.39445336908102,0.32317833624992814,0,0.041916120797395706,69.36424350738525,1e-05,252.41015625,0.9014034867286682,2.3283064365386963e-06,22.42297601699829,224.23409271240234,23399,3.6523883268237114,87633,0.010286119232808054,0.13626172151849217,89.90625,1,0.002891218988224864,0.8701158165931702,1,0.21484375,8.478233337402344,2,21908.25,0.2414883554992537,28.321087140589952,49.39445336908102,1,-5.8681290937556696e-08,2.3208558559417725e-06,0.14428091049194336,8.804823659360409,,-12.0625,0.0,0.041678229968433254,0.15790171705883652,0,124.29456090927124,0.04128779098391533,0.29471214301884174,7.092197418212891,3899,0,1e-06,-0.21740739746019244,14.0,7.626553371548653,,1772958147.083565,-13.551959991455078,0.1328125,-10.964814186096191,512,5,19500,91.654296875,0.0004711443290075123,21908,0.018694179598242044,-0.13736105896532536,0,1.4907018542289734
-0.228515625,353.413291945,0.25390625,0.7770307660102844,471.519671421764,57,179,24063,0.0,6,51.03180515766144,0.29465711732189376,0,0.04467654228210449,69.36424350738525,1e-05,281.3828125,0.9810604006052017,2.603977918624878e-06,11.270674288272858,224.30615997314453,24813,4.158136159181595,96250,0.010192835330963134,0.13408496559897476,94.59375,1,0.0003188979571859818,0.6315200328826904,1,0.25390625,13.110933303833008,2,24062.5,0.2649993691568964,28.360747542232275,51.03180515766144,1,-5.634614197447263e-08,2.689659595489502e-06,0.202543243765831,9.658676411956549,,-13.1875,0.0,0.043201414640847736,0.1524981549677374,0,71.12789905071259,0.04099734127521515,0.1059798126516398,7.390568256378174,1159,0,1e-06,0.023114175186492503,8.0625,7.782613210380077,,1772958198.1228666,-4.860185146331787,0.1484375,-8.7301607131958,512,6,23654,91.654296875,0.00042594640285937814,24062,0.0038203639851417392,0.12081435602158308,0,0.37530832923948765
-0.255859375,403.461347968,0.3046875,1.3951928615570068,444.494138376027,53,173,22431,0.0,7,50.46242022886872,0.3166870565300881,0,0.04269186034798622,69.36424350738525,1e-05,257.91796875,0.9036286883056164,2.5406479835510254e-06,4.445261895656586,224.35107803344727,24761,3.632581800222397,89721,0.01007154053460858,0.1419387102846552,92.5546875,1,0.00012684016473940574,0.5951817631721497,1,0.3046875,15.152276039123535,17,22430.25,0.24639511479372062,28.413479398936033,50.46242022886872,1,-7.626274722838389e-09,2.5033950805664062e-06,0.23029972612857819,9.37178722396493,,-10.8125,0.0,0.04048753134965501,0.16248633052281344,0,126.00766944885254,0.040920741856098175,0.15484578916220926,7.077029228210449,4551,0,1e-06,0.23335540224798024,8.125,8.052385788410902,,1772958248.5924766,-1.619760274887085,0.11328125,-12.636462211608887,512,7,20210,91.654296875,0.00045608878474491114,22430,0.0028559226484503597,0.05588939227163792,0,0.31782164238393307
0.0673828125,453.224871444,0.46484375,0.7867587208747864,417.71492294535176,58,170,20903,0.0,8,50.04070683568716,0.340906312236662,0,0.04032108560204506,69.36424350738525,1e-05,233.5234375,0.9037076085805893,2.8759241104125977e-06,5.226256251335144,224.23264694213867,21676,4.038888800889254,83611,0.010808477456083402,0.14662270700190555,93.08203125,1,0.00036286497925175354,0.5094725489616394,1,0.46484375,6.826529026031494,2,20902.75,0.22868210667166075,28.503517672419548,50.04070683568716,1,-1.9270659734615947e-08,2.9578804969787598e-06,0.38304170966148376,8.765398669987917,,-4.8125,0.0,0.048305710981680086,0.13586466273562497,0,80.62202835083008,0.04073629528284073,0.10659430781379342,7.016758918762207,1602,0,1e-06,0.2882413842889946,2.953125,7.743264604359865,,1772958298.6405866,-0.8360443115234375,0.06640625,-4.962310791015625,512,8,20074,91.654296875,0.00048721215250195225,20902,0.003029609957593493,-0.048557182773947716,0,0.2306504501029849
0.06396484375,526.809426296,0.5546875,0.7887097597122192,406.4025904825568,58,191,20213,0.0,9,49.73578041419387,0.35147996979036017,0,0.04264439269900322,69.36424350738525,1e-05,221.93359375,0.8912376016378403,2.7157366275787354e-06,2.8702417612075806,224.26462173461914,20423,3.983409807085991,80851,0.011023210617529039,0.15173110959133945,93.890625,1,2.249882891192101e-05,0.4252113401889801,1,0.5546875,4.401523590087891,5,20212.75,0.2217459083746314,28.41750703752041,49.73578041419387,1,-3.577013174549393e-08,2.216547727584839e-06,0.4917891323566437,8.620602991431952,,-2.515625,0.0,0.04926852861542827,0.13310615261934483,0,93.19232589006424,0.04197683185338974,0.11949101451318711,6.958621025085449,351,0,1e-06,0.3566926954081282,2.140625,7.733407475054264,,1772958348.4041557,-0.19002962112426758,0.0546875,-4.709020614624023,512,9,20072,91.654296875,0.000519187540703142,20212,0.002058361846138723,-0.03667772002518177,0,0.23164428817108274
0.91015625,576.85405016,0.69921875,0.87835693359375,253.17242273035512,59,174,18628,0.0,10,73.57633899897337,0.3808909888904121,0,0.03758872300386429,69.36424350738525,1e-05,197.921875,0.9487369060516357,2.857297658920288e-06,3.2143219709396362,224.28211975097656,19162,4.071290999650955,74510,0.012733014441707633,0.17130806800376516,93.1328125,1,0.0006711668165735318,0.3613578975200653,1,0.69921875,3.3665859699249268,16,18627.5,0.20443968493095238,28.380187582224607,73.57633899897337,1,-3.6928810231984244e-08,4.384666681289673e-06,0.6675811409950256,8.679837189614773,0.8589840788476119,-1.3359375,0.0,0.05464086699303389,0.11978957854421081,0,37.72951281070709,0.04070345684885979,0.0002957155229523778,6.591215133666992,961,0,1e-06,0.7925381101667881,1.875,7.738390423357487,23.674667820334435,1772958421.9887137,0.008099079132080078,0.0234375,-3.293915033340454,512,10,18201,91.654296875,0.000546281799072068,18627,0.002006101654842496,-0.10880914703011513,0,0.1098704541218467
0.6875,626.539966668,0.83984375,0.6898096799850464,364.55803332159866,62,173,18241,0.0,11,50.03592935204506,0.3840408708801572,0,0.03820560500025749,69.36424350738525,1e-05,190.60546875,0.8892274647951126,1.989305019378662e-06,2.477842003107071,224.46712493896484,19033,3.623433344066143,72964,0.012187208277987948,0.18973994363782248,94.41015625,1,5.266403604764491e-06,0.31429100036621094,1,0.83984375,3.530791997909546,4,18241.0,0.20271498649416422,28.02115810289979,50.03592935204506,1,-4.143435816672536e-09,2.089887857437134e-06,0.8099395632743835,9.258360549807549,,-1.078125,0.0,0.04966056334721428,0.1316924242912388,0,79.15483474731445,0.040100470185279846,0.03491580103582237,6.450165748596191,1993,0,1e-06,0.8465081471949816,2.125,8.159015640616417,,1772958472.0333,-0.22756695747375488,0.0078125,-4.071018695831299,512,11,17040,91.654296875,0.0005495925413255831,18241,0.00143991902587004,-0.00580238550901413,0,0.14980945363640785
