actor/entropy,global_seqlen/balanced_min,timing_s/start_profile,prompt_length/min,critic/rewards/max,_runtime,timing_s/stop_profile,actor/lr,response_length/min,timing_s/generate_sequences,critic/score/min,perf/max_memory_reserved_gb,_timestamp,critic/advantages/max,prompt_length/mean,actor/pg_clipfrac,prompt_length/clip_ratio,global_seqlen/minmax_diff,val-aux/openai/gsm8k/overlong/mean@1,timing_s/gen,critic/returns/min,val-aux/openai/gsm8k/overlong_reward/mean@1,global_seqlen/min,actor/grad_norm,global_seqlen/max,timing_s/testing,critic/returns/mean,timing_s/old_log_prob,actor/ppo_kl,critic/score/mean,val-core/openai/gsm8k/acc/mean@1,critic/rewards/min,perf/time_per_step,val-aux/openai/gsm8k/reward/mean@1,critic/score/max,actor/pg_loss,training/global_step,global_seqlen/mean,critic/rewards/mean,timing_s/step,_step,perf/mfu/actor,timing_per_token_ms/update_actor,timing_per_token_ms/adv,response_length/clip_ratio,perf/throughput,training/epoch,critic/advantages/min,response_length/max,timing_s/reshard,perf/cpu_memory_used_gb,critic/returns/max,perf/total_num_tokens,critic/advantages/mean,timing_s/adv,timing_s/reward,timing_per_token_ms/gen,timing_s/update_actor,actor/pg_clipfrac_lower,perf/max_memory_allocated_gb,response_length/mean,global_seqlen/balanced_max,prompt_length/max
0.6162495613098145,374778,1.1991709470748901e-05,56,1,1265.109169989,9.287148714065552e-06,1e-06,2,62.91742706298828,0,102.2890625,1773121867.1863086,3.7499847412109375,94.7265625,0.005067206105422883,0,27869,,67.44427299126983,-0.8539109230041504,,359861,3.694050669670105,387730,,-0.07672013342380524,126.69845243170857,0.0008306197034926299,0.153564453125,,0,636.7833906635642,,1,0.026933343708606117,1,374778.0,0.153564453125,636.7833906635642,1,0.2652005805377412,0.29436290541137333,6.962805561052284e-05,0.12890625,588.5486422776514,0,-0.8539109230041504,512,0.635485053062439,219.13523483276367,3.7499847412109375,1499112.0,-0.07672013342380524,0.10438025370240211,1.1598966047167778,0.06069979713230514,441.2829638570547,2.577718942120555e-05,88.96169471740723,271.267578125,374778,179
0.6503527164459229,367427,3.2335519790649414e-06,55,1,1884.365649221,2.7418136596679688e-06,1e-06,2,60.869834899902344,0,108.84765625,1773122494.2288551,3.7499847412109375,95.09765625,0.012219354248372838,0,9393,,63.60008434206247,-1.4361376762390137,,361399,2.5148424208164215,370792,,-0.11121056973934174,121.47123083099723,0.002870551257842635,0.252197265625,,0,626.9828782491386,,1,0.11088020698662149,2,367427.75,0.252197265625,626.9828782491386,2,0.26031862505544856,0.29984137731250415,8.128232368921496e-05,0.13525390625,586.0251734880685,0,-1.4361376762390137,512,0.6819781064987183,219.50342178344727,3.7499847412109375,1469711.0,-0.11121056973934174,0.11946152523159981,1.0258910804986954,0.058878554202046185,440.6801704913378,7.020931434453814e-05,88.96240949630737,263.718505859375,367428,205
0.47781047224998474,326931,3.259629011154175e-06,57,1,2500.953191789,3.7886202335357666e-06,1e-06,2,53.06883239746094,0,108.84765625,1773123113.485376,3.7499847412109375,94.22265625,0.00824955127609428,0,13850,,56.66986092180014,-3.7499847412109375,,320533,8.265618681907654,334383,,-0.1201959028840065,121.25082419067621,0.0014780162092904447,0.581787109375,,0,619.2136452868581,,1,0.15191281735314988,3,326931.0,0.581787109375,619.2136452868581,3,0.23169817240135054,0.3365616236933789,8.632950711621719e-05,0.063232421875,527.9777060606365,0,-3.7499847412109375,512,0.7608121633529663,219.88216018676758,3.7499847412109375,1307724.0,-0.1201959028840065,0.112895168364048,0.9759420268237591,0.061478193382643445,440.1297127828002,2.03323902496777e-05,88.96240949630737,225.0458984375,326931,180
0.385830819606781,313638,4.168599843978882e-06,61,1,3115.222583878,2.678483724594116e-06,1e-06,2,50.8410530090332,0,108.84765625,1773123730.0729582,3.7499847412109375,93.6640625,0.004361888401035685,0,18863,,53.51297676563263,-3.7499847412109375,,303717,1.0489863455295563,322580,,-0.08841151744127274,121.24948212876916,0.000612405985634723,0.7265625,,0,616.5338196903467,,1,0.1212640707672108,4,313638.75,0.7265625,616.5338196903467,4,0.22181113221726922,0.35124151213528537,7.300600956770328e-05,0.0341796875,508.7129691563792,0,-3.7499847412109375,512,0.7465524673461914,219.67494583129883,3.7499847412109375,1254555.0,-0.08841151744127274,0.09159005433320999,0.9370082356035709,0.06144511040287037,440.6517952568829,0.0,88.96240949630737,212.623779296875,313639,196
0.31651368737220764,291144,1.711025834083557e-05,56,1,3726.408396855,2.8870999813079834e-06,1e-06,4,46.260616302490234,0,108.84765625,1773124344.3422365,3.7499847412109375,89.90625,0.0014755755803435022,0,27733,,51.66061648726463,-3.7499847412109375,,277500,0.702848270535469,305233,,-0.03680640831589699,121.47672498598695,0.0001916825082730611,0.861083984375,,0,614.2207820005715,,1,0.016039668473240454,5,291144.0,0.861083984375,614.2207820005715,5,0.20604439617893588,0.3778025479342122,8.278060243836967e-05,0.0107421875,474.0054529768892,0,-3.7499847412109375,512,1.390815258026123,222.8590087890625,3.7499847412109375,1164576.0,-0.03680640831589699,0.0964043028652668,0.921954620629549,0.06487419189178299,439.9797800630331,0.0,88.96240949630737,194.4140625,291144,246
0.2665868401527405,292267,3.0510127544403076e-06,57,1,4337.157465198,2.384185791015625e-06,1e-06,2,46.20484924316406,0,108.84765625,1773124955.5281522,2.561730146408081,94.59375,0.0005583006741289864,0,13706,,50.14181153103709,-3.7499847412109375,,286489,0.4603669345378876,300195,,-0.013326548971235752,121.22693854570389,0.00015548021610811702,0.89990234375,,0,611.136912509799,,1,0.034168575271905866,6,292267.25,0.89990234375,611.136912509799,6,0.20742795014973464,0.37525440790881176,7.114906821184093e-05,0.00390625,478.2353086802195,0,-3.7499847412109375,512,1.4165289402008057,222.87519454956055,2.561730146408081,1169069.0,-0.013326548971235752,0.08317817002534866,0.909535575658083,0.06415171130858506,438.6982953995466,0.0,88.96240949630737,190.823486328125,292268,179
0.24105879664421082,286081,3.509223461151123e-06,53,1,4948.886828023,2.6263296604156494e-06,1e-06,10,44.43824005126953,0,108.84765625,1773125566.277205,3.7499847412109375,92.5546875,0.0004103280289200484,0,18666,,49.094926945865154,-3.7499847412109375,,279957,0.33912327140569687,298623,,-0.0001626850717002526,121.17016684263945,0.00035236701560847905,0.9150390625,,0,610.6892108730972,,1,-0.005634774192003533,7,286081.75,0.9150390625,610.6892108730972,7,0.2027185404554767,0.3839320439569617,7.699200012711148e-05,0.002197265625,468.4571872343894,0,-3.7499847412109375,512,1.4413385391235352,223.20626831054688,3.7499847412109375,1144327.0,-0.0001626850717002526,0.08810402452945709,0.9014516584575176,0.06415767292131203,439.3438040651381,0.0,88.96240949630737,186.822021484375,286082,173
0.21250209212303162,295321,5.0067901611328125e-06,58,1,5561.841354362,3.4458935260772705e-06,1e-06,13,46.70652770996094,0,108.84765625,1773126178.006543,3.7499847412109375,93.08203125,0.0002777917115963646,0,5363,,50.57127444818616,-3.7499847412109375,,292767,0.2514517866075039,298130,,-0.008578596636652946,121.22621782496572,0.00016526964338936523,0.9423828125,,0,611.6774392053485,,1,-0.03462082170881331,8,295321.5,0.9423828125,611.6774392053485,8,0.20952286311310436,0.3714684270340374,6.741433714325482e-05,0.0029296875,482.8059383449919,0,-3.7499847412109375,512,0.7663677930831909,229.73719024658203,3.7499847412109375,1181286.0,-0.008578596636652946,0.0796356126666069,0.903398297727108,0.06321235472047788,438.8104522973299,0.0,88.96240949630737,195.31787109375,295322,170
0.19368240237236023,299360,2.4884939193725586e-06,58,1,6198.089647139,2.037733793258667e-06,1e-06,42,46.64111328125,0,108.84765625,1773126790.9610693,2.561730146408081,93.890625,0.0004984350307495333,0,22045,,50.65799131989479,-3.7499847412109375,,290682,0.28544796258211136,312727,,-0.0014902265975251794,121.62968901917338,0.0002964554472839609,0.935791015625,,0,612.9004253074527,,1,-0.00757642220469279,9,299360.5,0.935791015625,612.9004253074527,9,0.21208938944460598,0.367051448734092,7.060378680542446e-05,0.001708984375,488.43252123675734,0,-3.7499847412109375,512,0.7925887107849121,229.6841583251953,2.561730146408081,1197442.0,-0.0014902265975251794,0.08454393967986107,0.9244165681302547,0.06232022414505563,439.52282087504864,0.0,88.96240949630737,198.45361328125,299361,191
0.17194516956806183,298374,2.8051435947418213e-06,59,1,6809.551070213,4.2691826820373535e-06,1e-06,49,46.694766998291016,0,108.84765625,1773127427.209465,3.7499847412109375,93.1328125,0.0002513918066142651,0,5578,0.0,50.48826642334461,-3.7499847412109375,0.0,296014,0.23166612535715103,301592,23.394863285124302,-0.007909178733825684,121.59524109587073,0.000175772978252553,0.941650390625,0.8968915845337376,0,636.202933371067,0.8968915845337376,1,0.021245082425593864,10,298374.5,0.941650390625,636.202933371067,10,0.21131260268028446,0.3683597820721693,7.304188459944066e-05,0.0009765625,468.99265053525346,0,-3.7499847412109375,512,0.8138102293014526,229.61788940429688,3.7499847412109375,1193498.0,-0.007909178733825684,0.08717534318566322,0.9150850959122181,0.0621756771622394,439.6366631835699,0.0,88.96240949630737,198.24853515625,298375,174
